key,english,category,flagged_term,removed_from,leaked_token,hi,corrected_hi,bn,corrected_bn,mr,corrected_mr,kn,corrected_kn,ta,corrected_ta,te,corrected_te
lwmcNoPeriodLoggedYet,No period logged yet,menstruation,period,,,अभी तक कोई अवधि लॉग नहीं हुई है,,এখনও কোনও পিরিয়ড লগ ইন করা হয়নি,,(not translated),,ಇನ್ನೂ ಯಾವುದೆ ಅವಧಿಯು ದಾಖಲಾಗಿಲ್ಲ,,இன்னும் பதிவு செய்யப்பட்ட காலம் இல்லை,,ఇంకా ఏ సమయం నమోదు కాలేదు,
oHowHaveYourPeriods,How have your periods changed?,menstruation,periods,,,आपके मासिक धर्म में क्या बदलाव आया है?,,আপনার ঋতুস্রাবে কী পরিবর্তন হয়েছে?,,तुमच्या पाळीत काय बदल झाले आहेत?,,ನಿಮ್ಮ ಋತುಸ್ರಾವದಲ್ಲಿ ಏನು ಬದಲಾಗಿದೆ?,,உங்கள் மாதவிடாயில் என்ன மாற்றம் ஏற்பட்டுள்ளது?,,మీ రుతుస్రావంలో ఏమి మారింది?,
oHowLongHasIt,How long has it been since your last period?,menstruation,period,,,आपके पिछले मासिक धर्म को कितना समय हो गया है?,,আপনার শেষ ঋতুস্রাবের কত দিন হয়েছে?,,तुमच्या शेवटच्या पाळीला किती काळ झाला?,,ನಿಮ್ಮ ಕೊನೆಯ ಋತುಸ್ರಾವವಾಗಿ ಎಷ್ಟು ಸಮಯವಾಯಿತು?,,உங்கள் கடைசி மாதவிடாய் ஆகி எவ்வளவு காலம்?,,మీ చివరి రుతుస్రావం అయ్యి ఎంతకాలం అయింది?,
oWhenDidYourFirst,When did your first period start?,menstruation,period,,,आपका पहला मासिक धर्म कब शुरू हुआ था?,,আপনার প্রথম ঋতুস্রাব কবে শুরু হয়েছিল?,,तुमची पहिली पाळी कधी सुरू झाली?,,ನಿಮ್ಮ ಮೊದಲ ಋತುಸ್ರಾವ ಯಾವಾಗ ಆರಂಭವಾಯಿತು?,,உங்கள் முதல் மாதவிடாய் எப்போது தொடங்கியது?,,మీ మొదటి రుతుస్రావం ఎప్పుడు మొదలైంది?,
oWhenDidYourLast,When did your last period begin?,menstruation,period,,,आपका पिछला मासिक धर्म कब शुरू हुआ था?,,আপনার শেষ ঋতুস্রাব কবে শুরু হয়েছিল?,,तुमची शेवटची पाळी कधी सुरू झाली?,,ನಿಮ್ಮ ಕೊನೆಯ ಋತುಸ್ರಾವ ಯಾವಾಗ ಆರಂಭವಾಯಿತು?,,உங்கள் கடைசி மாதவிடாய் எப்போது தொடங்கியது?,,మీ చివరి రుతుస్రావం ఎప్పుడు మొదలైంది?,
periLogPeriod,Log Period,menstruation,period,,,लॉग अवधि,,লগ পিরিয়ড,,(not translated),,ದಿನಚರಿ (ಲಾಗ್) ಸಮಯ,,பதிவேடு காலாவதி,,లాగ్ సమయం,
siaLogPeriodStart,Log period start date,menstruation,period,,,मासिक धर्म की शुरुआत की तारीख दर्ज करें,,মাসিক শুরুর তারিখ নথিভুক্ত করুন,,मासिक पाळी सुरू झाल्याची तारीख नोंदवा,,ಋತುಚಕ್ರ ಪ್ರಾರಂಭ ದಿನಾಂಕ ದಾಖಲಿಸಿ,,மாதவிடாய் தொடங்கிய தேதியைப் பதிவு செய்,,పీరియడ్ ప్రారంభ తేదీని నమోదు చేయండి,
siaPeriodRecorded,Period start date recorded.,menstruation,period,,,मासिक धर्म की शुरुआत दर्ज कर ली गई।,,মাসিক শুরুর তারিখ নথিভুক্ত হয়েছে।,,मासिक पाळी सुरू झाल्याची तारीख नोंदवली.,,ಋತುಚಕ್ರ ಪ್ರಾರಂಭ ದಿನಾಂಕ ದಾಖಲಾಗಿದೆ.,,மாதவிடாய் தொடக்க தேதி பதிவு செய்யப்பட்டது.,,పీరియడ్ ప్రారంభ తేదీ నమోదైంది.,
sqHowHaveYourPeriods,How have your periods changed?,menstruation,periods,,,आपके मासिक धर्म में क्या बदलाव आया है?,,আপনার ঋতুস্রাবে কী পরিবর্তন হয়েছে?,,तुमच्या पाळीत काय बदल झाले आहेत?,,ನಿಮ್ಮ ಋತುಸ್ರಾವದಲ್ಲಿ ಏನು ಬದಲಾಗಿದೆ?,,உங்கள் மாதவிடாயில் என்ன மாற்றம் ஏற்பட்டுள்ளது?,,మీ రుతుస్రావంలో ఏమి మారింది?,
sqHowLongHasIt,How long has it been since your last period?,menstruation,period,,,आपके पिछले मासिक धर्म को कितना समय हो गया है?,,আপনার শেষ ঋতুস্রাবের কত দিন হয়েছে?,,तुमच्या शेवटच्या पाळीला किती काळ झाला?,,ನಿಮ್ಮ ಕೊನೆಯ ಋತುಸ್ರಾವವಾಗಿ ಎಷ್ಟು ಸಮಯವಾಯಿತು?,,உங்கள் கடைசி மாதவிடாய் ஆகி எவ்வளவு காலம்?,,మీ చివరి రుతుస్రావం అయ్యి ఎంతకాలం అయింది?,
sqWhenDidYourFirst,When did your first period start?,menstruation,period,,,आपका पहला मासिक धर्म कब शुरू हुआ था?,,আপনার প্রথম ঋতুস্রাব কবে শুরু হয়েছিল?,,तुमची पहिली पाळी कधी सुरू झाली?,,ನಿಮ್ಮ ಮೊದಲ ಋತುಸ್ರಾವ ಯಾವಾಗ ಆರಂಭವಾಯಿತು?,,உங்கள் முதல் மாதவிடாய் எப்போது தொடங்கியது?,,మీ మొదటి రుతుస్రావం ఎప్పుడు మొదలైంది?,
sqWhenDidYourLast,When did your last period start?,menstruation,period,,,आपका पिछला मासिक धर्म कब शुरू हुआ था?,,আপনার শেষ ঋতুস্রাব কবে শুরু হয়েছিল?,,तुमची शेवटची पाळी कधी सुरू झाली?,,ನಿಮ್ಮ ಕೊನೆಯ ಋತುಸ್ರಾವ ಯಾವಾಗ ಆರಂಭವಾಯಿತು?,,உங்கள் கடைசி மாதவிடாய் எப்போது தொடங்கியது?,,మీ చివరి రుతుస్రావం ఎప్పుడు మొదలైంది?,
ttcPauseUntilNextPeriod,Pause until next period,menstruation,period,,,अगली अवधि तक रोकें,,পরবর্তী পিরিয়ড পর্যন্ত বিরতি দিন,,(not translated),,ಮುಂದಿನ ಅವಧಿಯವರೆಗೆ ತಾತ್ಕಾಲಿಕ ವಿರಮಿಸು,,அடுத்த கால இடைவெளி வரை தாமதி,,తరువాతి వ్యవధి వరకు విరామం చేయుము,
fpnsFirstPeriodKit,First-Period Kit,menstruation + mt defect,period,kn,Name,पहला पीरियड,,ফার্স্ট পিরিয়ড কিট,,(not translated),,(not translated),,முதல் பக்க கீட்,,మొదటి- లేడి- కిట్,
fpnsFirstPeriodKit2,First-period kit,menstruation + mt defect,period,te,Keyword,पहला पीरियड,,ফার্স্ট পিরিয়ড কিট,,(not translated),,ಮೊದಲ ಕಾಲ ಸ್ತಂಭದ ಕಿಟ್,,முதல் பகுதி அட்டை,,(not translated),
hhFlowIntensity,Flow Intensity,menstruation + mt defect,flow,te,color,प्रवाह की तीव्रता,,প্রবাহের তীব্রতা,,(not translated),,ಹರಿಯುವ ತಾಪ,,அதிர்வெண்,,(not translated),
hhLogPeriodDate,Log Period Date,menstruation + mt defect,period,te,Comment,लॉग अवधि की तारीख,,(not translated),,(not translated),,ದಿನಚರಿ (ಲಾಗ್) ದಿನ,,பதிவு காலாவதியான தேதி,,(not translated),
hhSavePeriodDate,Save Period Date,menstruation + mt defect,period,kn,action,अवधि की तारीख सेव करें,,পিরিয়ডের তারিখ সংরক্ষণ করুন,,(not translated),,(not translated),,தேதியை சேமி,,నెలను దాచు,
periLogPeriodStartDate,Log Period Start Date,menstruation + mt defect,period,kn te,NAME OF TRANSLATORS QSystemSemaphore,लॉग अवधि शुरू होने की तारीख,,লগ পিরিয়ড শুরুর তারিখ,,(not translated),,(not translated),,பதிவேடு துவக்க தேதி,,(not translated),
ttcLogPeriodDate,Log Period Date,menstruation + mt defect,period,te,Comment,लॉग अवधि की तारीख,,লগ পিরিয়ডের তারিখ,,(not translated),,ದಿನಚರಿ (ಲಾಗ್) ದಿನ,,பதிவு காலாவதியான தேதி,,(not translated),
dashAiGeneratedHabitInsights,AI-Generated Habit Insights,mt defect,,kn te,Name,एआई - जनरेट की गई आदत से जुड़ी जानकारी,,AI-উত্পাদিত অভ্যাসের অন্তর্দৃষ্টি,,(not translated),,(not translated),,AI- உருவாக்கிய பழக்க பார்வைகள்,,(not translated),
dashArticleSharedParent,Article shared with Parent!,mt defect,,mr,PHOTOS,माता - पिता के साथ साझा किया गया लेख!,,প্রবন্ধটি পিতামাতার সাথে শেয়ার করা হয়েছে!,,(not translated),,ಹೆತ್ತವರೊಂದಿಗೆ ಉಪಾಧ್ಯಾಯರು (ಇಂಗ್ಲಿಷ್‌) ಎಂಬ ಲೇಖನ!,,பிரிவு பெற்றோருடன் பகிர்ந்து கொள்ளப்படுகிறது!,,పేరెంట్‌తో భాగస్వామ్యం!,
dashGuides,Guides,mt defect,,kn,Name,मार्गदर्शक,,নির্দেশিকা,,मार्गदर्शक,,(not translated),,வழிகாட்டிகள்,,మార్గదర్శికులు,
dashLogBloodPressure,Log Blood Pressure,mt defect,,kn,Name,रक्तचाप,,রক্তচাপ,,रक्तदाब,,(not translated),,பதிவேடு இரத்த அழுத்தம்,,లాగ్ రక్తపోటు,
dashLongTermWellnessOverview,Long-Term Wellness Overview,mt defect,,kn,weenview,दीर्घकालिक स्वास्थ्य का अवलोकन,,দীর্ঘমেয়াদী সুস্থতার সংক্ষিপ্ত বিবরণ,,(not translated),,(not translated),,நீண்ட டெர்மின் ஒளிவுமறைவு,,లాంగ్- టెర్మోట్ వెతక ప్రతిరూపం,
dashNotesMStudio,NOTES & M STUDIO,mt defect,,kn te,Name,नोट्स एंड एम स्टूडियो,,নোট এবং এম স্টুডিও,,नोट्स आणि एम स्टुडिओ,,(not translated),,குறிப்புகள் & M ஸ்டோடியோ,,(not translated),
dashSharedTimelineReminders,Shared Timeline & Reminders,mt defect,,kn te,Comment,शेयर्ड टाइमलाइन और रिमाइंडर,,শেয়ার করা টাইমলাইন এবং অনুস্মারক,,सामायिक टाइमलाइन आणि स्मरणपत्रे,,(not translated),,பகிரப்பட்ட காலக்கெடு & நினைவுக்குறிப்புகள்,,(not translated),
dashTtcMStudioEntry,TTC M Studio Entry,mt defect,,kn te,MET Strigi,टीटीसी एम स्टूडियो एंट्री,,TTC M স্টুডিও এন্ট্রি,,टीटीसी एम स्टुडिओ प्रवेश,,(not translated),,TTC MD ஸ்டுடியோ உள்ளீடு,,(not translated),
dashViewWellnessHistory,View Wellness History,mt defect,,kn,NAME OF TRANSLATORS,वेलनेस हिस्ट्री देखें,,(not translated),,(not translated),,(not translated),,தோற்றத்தின் வரலாறு,,సొగసైన చరిత్రను వీక్షించు,
fpnsUpdatedDaily,Updated Daily,mt defect,,kn,info,प्रतिदिन अपडेट किया जाता है,,প্রতিদিন আপডেট করা হয়,,(not translated),,(not translated),,தினசரி புதுப்பிக்கப்பட்டது,,దైనందిన నవీకరించబడింది,
fpsQuickGuides,Quick Guides,mt defect,,kn te,Comment Name,झटपट गाइड,,দ্রুত গাইড,,(not translated),,(not translated),,விரைவான வழிகாட்டிகள்,,(not translated),
fpsShareWithMom,Share with Mom →,mt defect,,kn te,ASCII org,माँ के साथ शेयर करें →,,মায়ের সাথে শেয়ার করুন →,,(not translated),,(not translated),,அம்மாவுடன் பகிர்ந்துகொள்,,(not translated),
fpsUnderstandWithDocsy,Understand with Docsy →,mt defect,,te,org,डॉक्सी के साथ समझें →,,(not translated),,(not translated),,docsyಯಿಂದ ಕಲಿಯಿರಿ 07,,டாக்ஸியுடன் புரிந்துகொள்ளுங்கள் 74,,(not translated),
hhAddTreatmentProtocol,Add Treatment / Protocol,mt defect,,kn,plasma,उपचार / प्रोटोकॉल जोड़ें,,চিকিৎসা / প্রোটোকল যোগ করুন,,(not translated),,(not translated),,சிகிச்சை / நெறிமுறையை சேர்,,చికిత్స / ప్రొటొకాల్ జతచేయుము,
hhAnalyzeWithDocsy,Analyze with Docsy,mt defect,,kn te,Name,Docsy के साथ विश्लेषण करें,,(not translated),,(not translated),,(not translated),,Docsy உடன் ஆராய்தல்,,(not translated),
hhExitFlareMode,Exit Flare Mode,mt defect,,te,Endress,फ्लेयर मोड से बाहर निकलें,,ফ্লেয়ার মোড থেকে প্রস্থান করুন,,(not translated),,ಪರಾರಿಯಿಂದ ಹೊರನಡೆ,,நெகிழ்வு முறைமையில் இருந்து வெளியேறுக,,(not translated),
hhExploreWithDocsy,Explore with Docsy,mt defect,,te,Name,Docsy के साथ जायज़ा लें,,ডকসির সাথে অন্বেষণ করুন,,(not translated),,ಡೋಕ್ಸಿಯೊಂದಿಗಿನ ರಿಪೇರಿ,,Docsyயுடன் பின்னோக்கி,,(not translated),
hhSaveTreatment,Save Treatment,mt defect,,kn,Comment,इलाज सेव करें,,চিকিৎসা বাঁচান,,(not translated),,(not translated),,சிகிச்சையை சேமி,,చికిత్సను దాచు,
lwmcAskDocsy2,Ask Docsy →,mt defect,,kn,ASCII,Docsy से पूछें →,,ডকুমেন্টসিকে জিজ্ঞাসা করুন →,,(not translated),,(not translated),,Docsy யை கேள் SS,,డాక్సి అడగండి →,
lwmcTry,Try →,mt defect,,kn ta te,SIG SQL,कोशिश करें,,চেষ্টা করা,,(not translated),,(not translated),,(not translated),,(not translated),
lwmcViewPlan,View Plan →,mt defect,,te,ASH,योजना देखें →,,পরিকল্পনা দেখুন →,,(not translated),,ಪ್ರೋಗ್ರಾಮ್ 99 ನೋಡಿ,,திட்டம் 77 யை பார்வையிடு,,(not translated),
menoLearnGuidance,Learn guidance →,mt defect,,ta te,ASCII org,मार्गदर्शन जानें →,,নির্দেশিকা শিখুন →,,(not translated),,ಮಾರ್ಗದರ್ಶನೆ ಪಡೆಯಿರಿ ❖,,(not translated),,(not translated),
menoSaveTreatment,Save Treatment,mt defect,,kn,Comment,इलाज सेव करें,,চিকিৎসা বাঁচান,,(not translated),,(not translated),,சிகிச்சையை சேமி,,చికిత్సను దాచు,
periCopy,Copy,mt defect,,kn te,action,नाम पर्ची,,কপি করুন,,(not translated),,(not translated),,படியெடு,,(not translated),
periCopyForDoctor,Copy for Doctor,mt defect,,kn,Name,डॉक्टर के लिए कॉपी,,ডাক্তারের জন্য কপি করুন,,(not translated),,(not translated),,மருத்துவர்க்கு நகல் எடு,,డాక్టర్ కొరకు నకలు,
periDailyTransitionCheckIn,Daily Transition Check-In,mt defect,,te,Comment,डेली ट्रांज़िशन चेक - इन,,দৈনিক ট্রানজিশন চেক-ইন,,(not translated),,ಅನುಕ್ರಮಣಿಕೆ ಪರಿಶೀಲನೆ- ಅನುಕ್ರಮಣಿಕೆ,,தினசரி மாற்று சரிபார்ப்பு,,(not translated),
periLogCheckIn,Log Check-In,mt defect,,te,Comment,चेक-इन,,লগ চেক-ইন,,(not translated),,ದಾಖಲೆ ಪರಿಶೀಲನೆ- ಅಂತರ,,பதிவேடு சோதனை,,(not translated),
periNonPredictiveMidlifeRhythm,Non-Predictive Midlife Rhythm,mt defect,,kn ta te,MDAY Rythm,नॉन - प्रिडिक्टिव मिडलाइफ़ रिदम,,অ-কাল্পনিক মিডলাইফ রিদম,,(not translated),,(not translated),,(not translated),,(not translated),
ppBuildDoctorSummary,Build Doctor Summary →,mt defect,,kn ta te,CRL CRLF,डॉक्टर का सारांश बनाएँ →,,ডাক্তারের সারাংশ তৈরি করুন →,,(not translated),,(not translated),,(not translated),,(not translated),
ppLoggedSoiledDiaper,Logged Soiled Diaper 💩,mt defect,,kn ta te,short shutdown,लॉग किए गए गंदे डायपर 💩,,লগড সয়েলড ডায়াপার 💩,,(not translated),,(not translated),,(not translated),,(not translated),
ppLoggedWetDiaper,Logged Wet Diaper 💧,mt defect,,kn ta te,Weet What White,लॉग किए गए गीले डायपर 💧,,লগ করা ভেজা ডায়াপার 💧,,(not translated),,(not translated),,(not translated),,(not translated),
ppTimelineGuideline,TIMELINE GUIDELINE,mt defect,,kn,Comment,टाइमलाइन दिशानिर्देश,,সময়রেখা নির্দেশিকা,,(not translated),,(not translated),,காலக்கெடு திசை,,కాలరేఖా ఆదేశం,
ppTonightWindDown,TONIGHT WIND-DOWN,mt defect,,te,action,आज रात पवन - डाउन,,আজ রাতের বাতাস নিচে,,(not translated),,ನೈರುತ್ಯ ಗಾಳಿಯಲ್ಲಿ ಹೊರನಡೆ,,நேற்றிரவு காற்று,,(not translated),
ppUnderstandWithDocsy,Understand with Docsy →,mt defect,,te,org,डॉक्सी के साथ समझें →,,ডকসির সাথে বোঝাপড়া করুন →,,(not translated),,docsyಯಿಂದ ಕಲಿಯಿರಿ 07,,டாக்ஸியுடன் புரிந்துகொள்ளுங்கள் 74,,(not translated),
ppWhatHappenedEvent,WHAT HAPPENED (EVENT),mt defect,,kn ta te,NAME OF TRANSLATORS ONT,क्या हुआ (इवेंट),,যা ঘটেছিল (ঘটনা),,(not translated),,(not translated),,(not translated),,(not translated),
pregAddMoment,+ Add Moment,mt defect,,kn,modemator,+ पल जोड़ें,,+ মুহূর্ত যোগ করুন,,(not translated),,(not translated),,& சேர் மாதிரி,,+ కలుపు మాంటె,
pregBabyThisWeek,Baby This Week,mt defect,,ta te,title,बेबी इस हफ़्ते,,এই সপ্তাহে বাচ্চা,,(not translated),,ಈ ವಾರದಂದು,,(not translated),,(not translated),
pregExploreWithDocsy,Explore with Docsy,mt defect,,te,Name,Docsy के साथ जायज़ा लें,,ডকসির সাথে অন্বেষণ করুন,,(not translated),,ಡೋಕ್ಸಿಯೊಂದಿಗಿನ ರಿಪೇರಿ,,Docsyயுடன் பின்னோக்கி,,(not translated),
pregShareWithPartner,Share with Partner,mt defect,,te,Name,पार्टनर के साथ शेयर करें,,পার্টনারের সাথে শেয়ার করুন,,(not translated),,ಜೊತೆಗಾರ್ತಿಯೊಂದಿಗೆ ಹಂಚಿಕೊಳ್ಳಿ,,துணையுடன் பங்கிடு,,(not translated),
pregYourNextAppointment,YOUR NEXT APPOINTMENT,mt defect,,te,Pop,आपकी अगली अपॉइंटमेंट,,আপনার পরবর্তী অ্যাপয়েন্টমেন্ট,,(not translated),,ನಿಮ್ಮ ಮುಂದಿನ ಭೇಟಿ,,அடுத்த சந்திப்பு ஏற்பாடு,,(not translated),
stateOfflineWithCache,Not connected. Showing your last saved view.,mt defect,,ta,Docsy,कनेक्ट नहीं है। आपका पिछला सहेजा गया दृश्य दिखाया जा रहा है।,,সংযোগ নেই। আপনার সর্বশেষ সংরক্ষিত দৃশ্য দেখানো হচ্ছে।,,जोडलेले नाही. तुमचे शेवटचे जतन केलेले दृश्य दाखवत आहोत.,,ಸಂಪರ್ಕವಿಲ್ಲ. ನೀವು ಕೊನೆಯದಾಗಿ ಉಳಿಸಿದ ನೋಟವನ್ನು ತೋರಿಸಲಾಗುತ್ತಿದೆ.,,(not translated),,కనెక్షన్ లేదు. మీరు చివరిగా సేవ్ చేసిన వీక్షణ చూపుతోంది.,
dashPregnancyPrepLists,Pregnancy Prep & Lists,pregnancy,pregnancy,,,गर्भावस्था की तैयारी और सूचियाँ,,গর্ভাবস্থার প্রস্তুতি এবং তালিকা,,गर्भधारणा Prep & Lists,,ವಿದ್ಯುತ್ಕೋಶಗಳು ಹಾಗು ಪಟ್ಟಿಗಳು,,கருத்தரிப்பு முன்பொருத்த பட்டியல்கள்,,(e) గర్భస్రావము Prep జాబితాలు,
dashSharedPregnancyTimeline,Shared Pregnancy Timeline,pregnancy,pregnancy,,,शेयर्ड प्रेगनेंसी टाइमलाइन,,ভাগ করা গর্ভাবস্থার সময়রেখা,,सामायिक गर्भधारणा टाइमलाइन,,ಹಂಚಲಾದ ವಿದ್ಯುತ್ಕೋಶ,,பகிரப்பட்ட கர்ப்ப நேர வரி,,భాగస్వామ్య సమయ లైన్,
oHowAreYouFeeding,How are you feeding your baby?,pregnancy,feeding,,,आप अपने शिशु को कैसे दूध पिला रही हैं?,,আপনি আপনার শিশুকে কীভাবে খাওয়াচ্ছেন?,,तुम्ही बाळाला कसे दूध देता?,,ನಿಮ್ಮ ಮಗುವಿಗೆ ಹೇಗೆ ಆಹಾರ ನೀಡುತ್ತಿದ್ದೀರಿ?,,உங்கள் குழந்தைக்கு எப்படி உணவளிக்கிறீர்கள்?,,మీ బిడ్డకు మీరు ఎలా ఆహారం ఇస్తున్నారు?,
oIsThisYourFirst,Is this your first pregnancy?,pregnancy,pregnancy,,,क्या यह आपकी पहली गर्भावस्था है?,,এটি কি আপনার প্রথম গর্ভাবস্থা?,,ही तुमची पहिली गर्भधारणा आहे का?,,ಇದು ನಿಮ್ಮ ಮೊದಲ ಗರ್ಭಧಾರಣೆಯೇ?,,இது உங்கள் முதல் கர்ப்பமா?,,ఇది మీ మొదటి గర్భమా?,
ppCalibratePostpartumPath,Calibrate Postpartum Path,pregnancy,postpartum,,,प्रसवोत्तर पथ को कैलिब्रेट करें,,পোস্টপার্টাম পাথ ক্যালিব্রেট করুন,,(not translated),,ಪೋಸ್ಟ್‌ಪಾಟ್‌ ಪಥವನ್ನು ಲೆಕ್ಕಹಾಕು,,போஸ்ட்பார்ட்டம் பாதையை அளவிடு,,కాలిబరేట్ పోస్టు పథకం,
ppFeedingMethod,FEEDING METHOD,pregnancy,feeding,,,दूध पिलाने का तरीका,,খাওয়ানোর পদ্ধতি,,(not translated),,ಮೇಯಿಸುವ ವಿಧಾನ,,போஷிப்பு முறை,,మేపింగ్ పద్దతి,
ppVaginalBirth,Vaginal Birth,pregnancy,birth,,,योनि में जन्म,,যোনির জন্ম,,(not translated),,ವಿಜಿನ್‍ನ ಜನನ,,விகுணப் பிறப்பு,,విగ్భుత గర్భం,
ppYour4thTrimesterCompanion,Your 4th Trimester Companion,pregnancy,trimester,,,आपका चौथा तिमाही साथी,,আপনার ৪র্থ ত্রৈমাসিক সঙ্গী,,(not translated),,ನಿಮ್ಮ 4ನೇ ಟ್ರೆಮೆಸ್ಟರ್‌ ಜೊತೆ,,உங்கள் 4 - வது ட்ரிமெஸ்டர் துணைவர்,,మీ 4వ ట్రిమిస్టర్ సహచరుడు,
pregAddToPregnancyStory,Add to Pregnancy Story,pregnancy,pregnancy,,,गर्भावस्था की कहानी में जोड़ें,,গর্ভাবস্থার গল্পে যোগ করুন,,(not translated),,ಶೈಶವ ಕಥೆಗೆ ಸೇರಿಸು,,மாதவிடாய் கதையில் சேர்,,గర్తు కథకు జతచేయుము,
pregMyPregnancyStory,MY PREGNANCY STORY,pregnancy,pregnancy,,,मेरी गर्भावस्था की कहानी,,আমার গর্ভাবস্থার গল্প,,(not translated),,ನನ್ನ ಗರ್ಭಧಾರಣೆ,,என் கருத்தரிப்பு கதை,,నా గర్భధారణ కథ,
pregYourGestationalTimeline,YOUR GESTATIONAL TIMELINE,pregnancy,gestational,,,आपकी गर्भकालीन समयरेखा,,আপনার গর্ভকালীন সময়রেখা,,(not translated),,ನಿಮ್ಮ ಮಾತೃಕೆ ಕಾಲಂ,,உங்கள் பராமரிப்பு காலக்கெடு,,మీ ప్రస్థుత కాలరేఖ,
sqHowAreYouFeeding,How are you feeding your baby?,pregnancy,feeding,,,आप अपने शिशु को कैसे दूध पिला रही हैं?,,আপনি আপনার শিশুকে কীভাবে খাওয়াচ্ছেন?,,तुम्ही बाळाला कसे दूध देता?,,ನಿಮ್ಮ ಮಗುವಿಗೆ ಹೇಗೆ ಆಹಾರ ನೀಡುತ್ತಿದ್ದೀರಿ?,,உங்கள் குழந்தைக்கு எப்படி உணவளிக்கிறீர்கள்?,,మీ బిడ్డకు మీరు ఎలా ఆహారం ఇస్తున్నారు?,
sqIsThisYourFirst,Is this your first pregnancy?,pregnancy,pregnancy,,,क्या यह आपकी पहली गर्भावस्था है?,,এটি কি আপনার প্রথম গর্ভাবস্থা?,,ही तुमची पहिली गर्भधारणा आहे का?,,ಇದು ನಿಮ್ಮ ಮೊದಲ ಗರ್ಭಧಾರಣೆಯೇ?,,இது உங்கள் முதல் கர்ப்பமா?,,ఇది మీ మొదటి గర్భమా?,
sqWhatSupportWouldYou,What support would you like during pregnancy?,pregnancy,pregnancy,,,गर्भावस्था के दौरान आप किस तरह का सहयोग चाहेंगी?,,গর্ভাবস্থায় আপনি কী ধরনের সহায়তা চান?,,गर्भधारणेदरम्यान तुम्हाला कोणता आधार हवा आहे?,,ಗರ್ಭಾವಸ್ಥೆಯಲ್ಲಿ ನಿಮಗೆ ಯಾವ ಬೆಂಬಲ ಬೇಕು?,,கர்ப்ப காலத்தில் எந்த ஆதரவை விரும்புகிறீர்கள்?,,గర్భధారణ సమయంలో మీకు ఎలాంటి మద్దతు కావాలి?,
dashPostpartumMStudioEntry,Postpartum M Studio Entry,pregnancy + mt defect,postpartum,ta te,Strigi,प्रसवोत्तर एम स्टूडियो एंट्री,,পোস্টপার্টাম এম স্টুডিও এন্ট্রি,,पोस्टपार्टम एम स्टुडिओ प्रवेश,,ಪೋಸ್ಟ್‌ಪಾಟ್ಯೂಮ್ M ಸ್ಟುಡಿಯೋ ನಮೂದು,,(not translated),,(not translated),
dashPregnancyMStudioEntry,Pregnancy M Studio Entry,pregnancy + mt defect,pregnancy,kn ta,MStrigi Mindiote,गर्भावस्था एम स्टूडियो एंट्री,,গর্ভাবস্থা এম স্টুডিও এন্ট্রি,,गर्भधारणा एम स्टुडिओ प्रवेश,,(not translated),,(not translated),,గర్భస్రావము మెడ్‌డియో ప్రవేశము,
ppActiveNursingStopwatch,Active Nursing Stopwatch,pregnancy + mt defect,nursing,te,QShortcut,एक्टिव नर्सिंग स्टॉपवॉच,,সক্রিয় নার্সিং স্টপওয়াচ,,(not translated),,ಸಕ್ರಿಯ ನರ್ಸ್ ವೀಕ್ಷಣೆ,,இயங்கும் பராமரிப்பாளர் க்வாட்,,(not translated),
ppBabySBirthDate,BABY'S BIRTH DATE,pregnancy + mt defect,birth,kn,Name,बच्चेकी जन्मतिथि,,শিশুর জন্ম তারিখ,,(not translated),,(not translated),,குழந்தை பிறந்த நாள்,,బేబీ యొక్క పుట్టిన తేదీ,
